"Country Name","Country Code","Indicator Name","Indicator Code","Time Period","Value","Status",
"Advanced Economies","110","Unallocated Reserves, US Dollars","RAXGFXUR_USD","1998","99804849247.2083",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","1999","656002838011.794",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2000","714377655213.142",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2001","797648368927.06",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2002","958111397699.042",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2003","1249842785824.42",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2004","1667929571695.63",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2005","2229859832057.59",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2006","2982078315477.66",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2007","4247708945146.2",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2008","4829349896250.45",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2009","5356583929044.53",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2010","6136495010400.07",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2011","6758849891592.86",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2012","7228009966096.95",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2013","7855815434609.93",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","2014","7729951752475.54",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","1995","454159978503.567",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","1996","546051438121.613",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","1997","601945744172.979",""
"Emerging and Developing Economies","200","Total Foreign Exchange Reserves, US Dollars","RAXGFX_USD","1998","616709931683.941",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","1999","366903198618",""
"Emerging and Developing Economies","200","Allocated Reserves, US Dollars","RAXGFXAR_USD","2000","408215719117.763",""
